,Year,Name,Games,Category,PPG,TRB,APG,SPG,BPG,FGP,FG3P,FTPCT,WS,WS_per_48
254,,,,,,,,,,,,,,
255,1995,Kareem Abdul-Jabbar   ,1560,Player,24.6,11.2,3.6,0.9,2.6,.559,.056,.721,273.4,.228
256,1995,WNBA,,Player,,,,,,,,,,
257,1995,Aleksandr Gomelsky   ,,Coach,,,,,,,,,,
258,1995,John Kundla   ,,Coach,,,,,,,,,,
259,1995,Vern Mikkelsen   ,699,Player,14.4,9.4,2.2,,,.403,,.766,83.4,.170
260,1995,WNBA,,Player,,,,,,,,,,
261,1995,Earl Strom   ,,Referee,,,,,,,,,,
262,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,
264,1994,Carol Blazejowski   ,,Player,,,,,,,,,,
265,1994,Denny Crum   ,,Coach,,,,,,,,,,
266,1994,Chuck Daly   ,,Coach,,,,,,,,,,
267,1994,Buddy Jeannette   ,139,Player,7.2,,2.1,,,.341,,.781,15.7,
268,1994,Cesare Rubini   ,,Coach,,,,,,,,,,
269,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,
271,1993,Walt Bellamy   ,1043,Player,20.1,13.7,2.4,0.7,0.6,.516,,.632,130.0,.160
272,1993,Julius Erving   ,1243,Player,24.2,8.5,4.2,2.0,1.7,.506,.298,.777,181.1,.192
273,1993,Dan Issel   ,1218,Player,22.6,9.1,2.4,1.0,0.5,.499,.204,.793,157.8,.181
274,1993,Dick McGuire   ,738,Player,8.0,4.2,5.7,,,.389,,.644,50.9,.115
275,1993,Ann Meyers   ,,Player,,,,,,,,,,
276,1993,Calvin Murphy   ,1002,Player,17.9,2.1,4.4,1.5,0.1,.482,.139,.892,84.1,.132
277,1993,Uljana Semjonova   ,,Player,,,,,,,,,,
278,1993,Bill Walton   ,468,Player,13.3,10.5,3.4,0.8,2.2,.521,.000,.660,39.3,.142
279,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,
281,1992,Sergei Belov   ,,Player,,,,,,,,,,
282,1992,Lou Carnesecca   ,,Coach,,,,,,,,,,
283,1992,Lusia Harris-Stewart   ,,Player,,,,,,,,,,
284,1992,Connie Hawkins   ,616,Player,18.7,8.8,4.1,1.2,0.8,.479,.161,.779,76.7,.166
285,1992,Bob Lanier   ,959,Player,20.1,10.1,3.1,1.1,1.5,.514,.154,.767,117.1,.175
286,1992,Alfred McGuire   ,,Coach,,,,,,,,,,
287,1992,Jack Ramsay   ,,Coach,,,,,,,,,,
288,1992,Nera White   ,,Player,,,,,,,,,,
289,1992,Phillip Woolpert   ,,Coach,,,,,,,,,,
290,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,
292,1991,Tiny Archibald   ,876,Player,18.8,2.3,7.4,1.1,0.1,.467,.224,.810,83.4,.128
293,1991,Dave Cowens   ,766,Player,17.6,13.6,3.8,1.1,0.9,.460,.071,.783,86.3,.140
294,1991,Larry Fleisher   ,,Contributor,,,,,,,,,,
295,1991,Harry Gallatin   ,682,Player,13.0,11.9,1.8,,,.398,,.773,78.4,.182
296,1991,Bob Knight   ,,Coach,,,,,,,,,,
297,1991,Lawrence O'Brien   ,,Contributor,,,,,,,,,,
298,1991,Borislav Stankovic   ,,Contributor,,,,,,,,,,
299,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,
301,1990,Dave Bing   ,901,Player,20.3,3.8,6.0,1.3,0.2,.441,,.775,68.8,.101
302,1990,Elvin Hayes   ,1303,Player,21.0,12.5,1.8,1.0,2.0,.452,.147,.670,120.8,.116
303,1990,Neil Johnston   ,516,Player,19.4,11.3,2.5,,,.444,,.768,92.0,.241
304,1990,Earl Monroe   ,926,Player,18.8,3.0,3.9,1.0,0.3,.464,,.807,77.4,.125
305,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,
307,1989,Pop Gates   ,,Player,,,,,,,,,,
308,1989,K.C. Jones   ,676,Player,7.4,3.5,4.3,,,.387,,.647,38.6,.106
309,1989,Lenny Wilkens   ,1077,Player,16.5,4.7,6.7,1.3,0.2,.432,,.774,95.5,.120
310,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,
312,1988,Clyde Lovellette   ,704,Player,17.0,9.5,1.6,,,.443,,.757,70.6,.178
313,1988,Bob McDermott   ,,Player,,,,,,,,,,
314,1988,Ralph Miller   ,,Coach,,,,,,,,,,
315,1988,Wes Unseld   ,984,Player,10.8,14.0,3.9,1.1,0.6,.509,.500,.633,110.1,.147
316,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,
318,1987,Rick Barry   ,1020,Player,24.8,6.7,4.9,2.0,0.5,.456,.297,.893,128.9,.162
319,1987,Walt Frazier   ,825,Player,18.9,5.9,6.1,1.9,0.2,.490,.000,.786,113.5,.176
320,1987,Bob Houbregs   ,281,Player,9.3,5.5,1.8,,,.404,,.721,14.3,.102
321,1987,Pete Maravich   ,658,Player,24.2,4.2,5.4,1.4,0.3,.441,.667,.820,46.7,.092
322,1987,Bobby Wanzer   ,568,Player,12.2,4.5,3.2,,,.393,,.802,63.9,.156
323,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,
325,1986,Billy Cunningham   ,770,Player,21.2,10.4,4.3,1.8,0.5,.452,.263,.730,78.6,.141
326,1986,Tom Heinsohn   ,654,Player,18.6,8.8,2.0,,,.405,,.790,60.0,.150
327,1986,Red Holzman   ,,Coach,,,,,,,,,,
328,1986,Red Mihalik   ,,Referee,,,,,,,,,,
329,1986,Fred Taylor   ,,Coach,,,,,,,,,,
330,1986,Stanley Watts   ,,Coach,,,,,,,,,,
331,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,
333,1985,Harold Anderson   ,,Coach,,,,,,,,,,
334,1985,Senda Berenson Abbott   ,,Contributor,,,,,,,,,,
335,1985,Al Cervi   ,202,Player,7.9,1.8,3.2,,,.359,,.839,21.9,.308
336,1985,Marv Harshman   ,,Coach,,,,,,,,,,
337,1985,Bertha Teague   ,,Contributor,,,,,,,,,,
338,1985,Nate Thurmond   ,964,Player,15.0,15.0,2.7,0.5,2.1,.421,,.667,78.0,.104
339,1985,Margaret Wade   ,,Coach,,,,,,,,,,
340,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,
342,1984,Clifford Fagan   ,,Contributor,,,,,,,,,,
343,1984,Jack Gardner   ,,Coach,,,,,,,,,,
344,1984,John Havlicek   ,1270,Player,20.8,6.3,4.8,1.2,0.3,.439,,.815,131.7,.136
345,1984,Sam Jones   ,871,Player,17.7,4.9,2.5,,,.456,,.803,92.3,.182
346,1984,Edward Steitz   ,,Contributor,,,,,,,,,,
347,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,
349,1983,Bill Bradley   ,742,Player,12.4,3.2,3.4,0.7,0.2,.448,,.840,38.8,.082
350,1983,Dave DeBusschere   ,875,Player,16.1,11.0,2.9,0.9,0.5,.432,,.699,60.8,.093
351,1983,Lloyd Leith   ,,Referee,,,,,,,,,,
352,1983,Dean Smith   ,,Coach,,,,,,,,,,
353,1983,Jack Twyman   ,823,Player,19.2,6.6,2.3,,,.450,,.778,75.0,.138
354,1983,Louis Wilke   ,,Contributor,,,,,,,,,,
355,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,
357,1982,Everett Case   ,,Coach,,,,,,,,,,
358,1982,Alva Duer   ,,Contributor,,,,,,,,,,
359,1982,Clarence Gaines   ,,Coach,,,,,,,,,,
360,1982,Hal Greer   ,1122,Player,19.2,5.0,4.0,,,.452,,.801,102.7,.124
361,1982,Slater Martin   ,745,Player,9.8,3.4,4.2,,,.364,,.762,47.5,.087
362,1982,Frank Ramsey   ,623,Player,13.4,5.5,1.8,,,.399,,.804,49.2,.154
363,1982,Willis Reed   ,650,Player,18.7,12.9,1.8,0.6,1.1,.476,,.747,74.9,.156
364,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,
366,1981,Thomas Barlow   ,,Player,,,,,,,,,,
367,1981,Ferenc Hepp   ,,Contributor,,,,,,,,,,
368,1981,Walter Kennedy   ,,Contributor,,,,,,,,,,
369,1981,Arad McCutchan   ,,Coach,,,,,,,,,,
370,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,
372,1980,Les Harrison   ,,Contributor,,,,,,,,,,
373,1980,Jerry Lucas   ,829,Player,17.0,15.6,3.3,0.4,0.3,.499,,.783,98.4,.147
374,1980,Oscar Robertson   ,1040,Player,25.7,7.5,9.5,1.1,0.1,.485,,.838,189.2,.207
375,1980,Everett Shelton   ,,Coach,,,,,,,,,,
376,1980,Dallas Shirley   ,,Referee,,,,,,,,,,
377,1980,Jerry West   ,932,Player,27.0,5.8,6.7,2.6,0.7,.474,,.814,162.6,.213
378,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,
380,1979,Sam Barry   ,,Coach,,,,,,,,,,
381,1979,Wilt Chamberlain   ,1045,Player,30.1,22.9,4.4,,,.540,,.511,247.3,.248
382,1979,James Enright   ,,Referee,,,,,,,,,,
383,1979,Edgar Hickey   ,,Coach,,,,,,,,,,
384,1979,John McLendon   ,,Contributor,,,,,,,,,,
385,1979,Ray Meyer   ,,Coach,,,,,,,,,,
386,1979,Pete Newell   ,,Coach,,,,,,,,,,
387,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,
389,1978,Paul Arizin   ,713,Player,22.8,8.6,2.3,,,.421,,.810,108.8,.183
390,1978,Joe Fulks   ,489,Player,16.4,5.3,1.2,,,.302,,.766,29.2,-0.045
391,1978,Cliff Hagan   ,839,Player,17.7,6.6,3.2,,,.454,.000,.799,85.3,.170
392,1978,John Nucatola   ,,Referee,,,,,,,,,,
393,1978,Jim Pollard   ,438,Player,13.2,7.8,3.2,,,.360,,.750,34.9,.093
394,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,
396,1977,Elgin Baylor   ,846,Player,27.4,13.5,4.3,,,.431,,.780,104.2,.148
397,1977,"Charles ""Tarzan"" Cooper   ",,Contributor,,,,,,,,,,
398,1977,Lauren Gale   ,,Player,,,,,,,,,,
399,1977,William Johnson   ,,Player,,,,,,,,,,
400,1977,Frank McGuire   ,,Coach,,,,,,,,,,
401,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,
403,1976,Tom Gola   ,698,Player,11.3,8.0,4.2,,,.431,,.760,53.2,.113
404,1976,Ed Krause   ,,Player,,,,,,,,,,
405,1976,Harry Litwack   ,,Coach,,,,,,,,,,
406,1976,Bill Sharman   ,711,Player,17.8,3.9,3.0,,,.426,,.883,82.8,.178
407,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,
409,1975,Joseph Brennan   ,,Player,,,,,,,,,,
410,1975,Emil Liston   ,,Contributor,,,,,,,,,,
411,1975,Bill Russell   ,963,Player,15.1,22.5,4.3,,,.440,,.561,163.5,.193
412,1975,Robert Vandivier   ,,Player,,,,,,,,,,
413,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,
415,1974,Harry Fisher   ,,Contributor,,,,,,,,,,
416,1974,Maurice Podoloff   ,,Contributor,,,,,,,,,,
417,1974,Ernest Schmidt   ,,Player,,,,,,,,,,
418,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,
420,1973,John Beckman   ,,Player,,,,,,,,,,
421,1973,Bruce Drake   ,,Coach,,,,,,,,,,
422,1973,Arthur Lonborg   ,,Coach,,,,,,,,,,
423,1973,Elmer Ripley   ,,Contributor,,,,,,,,,,
424,1973,Dolph Schayes   ,996,Player,18.5,12.1,3.1,,,.380,,.849,142.4,.192
425,1973,John Wooden   ,,Coach,,,,,,,,,,
426,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,
428,1972,Edgar Diddle   ,,Coach,,,,,,,,,,
429,1972,Robert Douglas   ,,Contributor,,,,,,,,,,
430,1972,Paul Endacott   ,,Player,,,,,,,,,,
431,1972,Max Friedman   ,,Player,,,,,,,,,,
432,1972,Edward Gottlieb   ,,Contributor,,,,,,,,,,
433,1972,Clifford Wells   ,,Contributor,,,,,,,,,,
434,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,
436,1971,Bob Cousy   ,924,Player,18.4,5.2,7.5,,,.375,,.803,91.1,.139
437,1971,Bob Pettit   ,792,Player,26.4,16.2,3.0,,,.436,,.761,136.0,.213
438,1971,Abe Saperstein   ,,Contributor,,,,,,,,,,
439,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,
441,1970,Bernard Carnevale   ,,Coach,,,,,,,,,,
442,1970,Bob Davies   ,462,Player,14.3,2.9,4.9,,,.378,,.759,49.7,.148
443,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,
445,1969,Red Auerbach   ,,Coach,,,,,,,,,,
446,1969,Dutch Dehnert   ,,Player,,,,,,,,,,
447,1969,Henry Iba   ,,Coach,,,,,,,,,,
448,1969,Adolph Rupp   ,,Coach,,,,,,,,,,
449,1969,Charles Taylor   ,,Contributor,,,,,,,,,,
450,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,
452,1968,Clair Bee   ,,Contributor,,,,,,,,,,
453,1968,Howard Cann   ,,Coach,,,,,,,,,,
454,1968,Amory Gill   ,,Coach,,,,,,,,,,
455,1968,Alvin Julian   ,,Coach,,,,,,,,,,
456,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,
458,1966,Everett Dean   ,,Coach,,,,,,,,,,
459,1966,Joe Lapchick   ,,Player,,,,,,,,,,
460,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,
462,1965,Walter Brown   ,,Contributor,,,,,,,,,,
463,1965,Paul Hinkle   ,,Contributor,,,,,,,,,,
464,1965,Howard Hobson   ,,Coach,,,,,,,,,,
465,1965,William Mokray   ,,Contributor,,,,,,,,,,
466,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,
468,1964,John Bunn   ,,Contributor,,,,,,,,,,
469,1964,Harold Foster   ,,Player,,,,,,,,,,
470,1964,Nat Holman   ,,Player,,,,,,,,,,
471,1964,Ned Irish   ,,Contributor,,,,,,,,,,
472,1964,William Jones   ,,Contributor,,,,,,,,,,
473,1964,Ken Loeffler   ,,Coach,,,,,,,,,,
474,1964,John Russell   ,,Player,,,,,,,,,,
475,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,
477,1963,New York Rens   ,,Team,,,,,,,,,,
478,1963,Robert Gruenig   ,,Player,,,,,,,,,,
479,1963,William Reid   ,,Contributor,,,,,,,,,,
480,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,
482,1962,Jack McCracken   ,,Player,,,,,,,,,,
483,1962,Frank Morgenweck   ,,Contributor,,,,,,,,,,
484,1962,Harlan Page   ,,Player,,,,,,,,,,
485,1962,Barney Sedran   ,,Player,,,,,,,,,,
486,1962,Lynn St. John   ,,Contributor,,,,,,,,,,
487,1962,John (Cat) Thompson   ,,Player,,,,,,,,,,
488,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,
490,1961,Buffalo Germans   ,,Team,,,,,,,,,,
491,1961,Bernard Borgmann   ,,Player,,,,,,,,,,
492,1961,Forrest DeBernardi   ,,Player,,,,,,,,,,
493,1961,George Hoyt   ,,Referee,,,,,,,,,,
494,1961,George Keogan   ,,Coach,,,,,,,,,,
495,1961,Bob Kurland   ,,Player,,,,,,,,,,
496,1961,John O'Brien   ,,Contributor,,,,,,,,,,
497,1961,Andy Phillip   ,701,Player,9.1,4.4,5.4,,,.368,,.695,53.3,.077
498,1961,Ernest Quigley   ,,Referee,,,,,,,,,,
499,1961,John Roosma   ,,Player,,,,,,,,,,
500,1961,Leonard Sachs   ,,Coach,,,,,,,,,,
501,1961,Arthur Schabinger   ,,Contributor,,,,,,,,,,
502,1961,Christian Steinmetz   ,,Player,,,,,,,,,,
503,1961,David Tobey   ,,Referee,,,,,,,,,,
504,1961,Arthur Trester   ,,Contributor,,,,,,,,,,
505,1961,Edward Wachter   ,,Player,,,,,,,,,,
506,1961,David Walsh   ,,Referee,,,,,,,,,,
507,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,
509,1960,Ernest Blood   ,,Coach,,,,,,,,,,
510,1960,Victor Hanson   ,,Player,,,,,,,,,,
511,1960,George Hepbron   ,,Referee,,,,,,,,,,
512,1960,Frank Keaney   ,,Coach,,,,,,,,,,
513,1960,Ward Lambert   ,,Coach,,,,,,,,,,
514,1960,Ed Macauley   ,641,Player,17.5,7.5,3.2,,,.436,,.761,100.4,.196
515,1960,Branch McCracken   ,,Player,,,,,,,,,,
516,1960,Charles Murphy   ,,Player,,,,,,,,,,
517,1960,Henry Porter   ,,Contributor,,,,,,,,,,
518,1960,John Wooden   ,,Player,,,,,,,,,,
519,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,
521,1959,Original Celtics   ,,Team,,,,,,,,,,
522,1959,The First Team   ,,Team,,,,,,,,,,
523,1959,Phog Allen   ,,Coach,,,,,,,,,,
524,1959,Henry Clifford Carlson   ,,Coach,,,,,,,,,,
525,1959,Luther Gulick   ,,Contributor,,,,,,,,,,
526,1959,Edward Hickox   ,,Contributor,,,,,,,,,,
527,1959,Charles Hyatt   ,,Player,,,,,,,,,,
528,1959,Matthew Kennedy   ,,Referee,,,,,,,,,,
529,1959,Hank Luisetti   ,,Player,,,,,,,,,,
530,1959,Walter Meanwell   ,,Coach,,,,,,,,,,
531,1959,George Mikan   ,439,Player,23.1,13.4,2.8,,,.404,,.782,108.7,.249
532,1959,Ralph Morgan   ,,Contributor,,,,,,,,,,
533,1959,James Naismith   ,,Contributor,,,,,,,,,,
534,1959,Harold Olsen   ,,Contributor,,,,,,,,,,
535,1959,John Schommer   ,,Player,,,,,,,,,,
536,1959,Amos Alonzo Stagg   ,,Contributor,,,,,,,,,,
537,1959,Oswald Tower   ,,Contributor,,,,,,,,,,
